dir_name,RGB,,LAB,,,,,gamma_ed_RGB
12_4,"[32.70612730517549, 82.56751933372992, 181.98572278405712]",,"[6.02, 1.44, -19.21]",,,,,"[0.014981409750496173, 0.08557798338677719, 0.46770203131962346]"
12_5,"[37.21653777513385, 77.66745984533016, 167.0731707317073]",,"[5.68, 2.19, -17.83]",,,,,"[0.018689205303764524, 0.07552632635302706, 0.38680440951024564]"
12_6,"[39.123735871505055, 81.41344437834623, 164.12254610350982]",,"[5.79, 0.12, -16.93]",,,,,"[0.020402374656075507, 0.08314453489458812, 0.3718512885128536]"
12_7,"[38.469363474122545, 84.56870910172516, 167.83521713265912]",,"[6.25, -0.41, -16.89]",,,,,"[0.01980469148699601, 0.08989504540228556, 0.3907222619851481]"
12_8,"[37.555621653777514, 81.70136823319453, 163.52111838191553]",,"[6.12, -0.08, -16.93]",,,,,"[0.018987397245751155, 0.08374781053504841, 0.36884550947572686]"
12_9,"[37.88637715645449, 82.49077929803688, 166.3575252825699]",,"[6.17, -0.26, -16.88]",,,,,"[0.019280921429200883, 0.08541489981017533, 0.38314606889931646]"
13_1,"[40.21296847114812, 85.21415823914337, 167.83402736466388]",,"[6.28, -0.46, -16.8]",,,,,"[0.021420315247562022, 0.09131393038320747, 0.3907161271628662]"
13_10,"[34.42236763831053, 93.08506841165972, 208.28911362284356]",,"[6.67, 0.61, -20.17]",,,,,"[0.016336014398437255, 0.10967063950485187, 0.6327301761497932]"
13_11,"[33.812016656751936, 92.14812611540749, 202.6424747174301]",,"[6.65, 0.42, -20.21]",,,,,"[0.015846431331727823, 0.10738230330843915, 0.5948433293201089]"
13_12,"[33.21475312314099, 90.95776323616894, 202.3634741225461]",,"[6.27, 0.42, -19.77]",,,,,"[0.015375737295172961, 0.10451553857387799, 0.5930066485876713]"
13_13,"[33.58536585365854, 91.70136823319453, 209.07376561570493]",,"[6.5, 1.08, -20.26]",,,,,"[0.01566683641726275, 0.1063010655490801, 0.6381031162437688]"
13_14,"[40.4562760261749, 84.66091612135634, 170.08209399167163]",,"[6.01, -0.15, -16.66]",,,,,"[0.021651655766410715, 0.09009694991837039, 0.402408290026903]"
13_15,"[36.455681142177276, 79.45746579417013, 165.4217727543129]",,"[5.57, 0.6, -17.14]",,,,,"[0.018030100972587074, 0.07911339942735524, 0.37839311802898923]"
13_16,"[39.947650208209396, 83.48126115407496, 171.5377751338489]",,"[5.87, 0.53, -17.5]",,,,,"[0.021169697320973513, 0.08753377798195655, 0.41008673844812]"
13_17,"[38.92207019631172, 80.901249256395, 168.30160618679358]",,"[5.76, 0.98, -17.39]",,,,,"[0.020217074175250243, 0.08207763515531774, 0.3931314419743002]"
13_18,"[32.88221296847115, 89.45806067816775, 202.7674003569304]",,"[6.25, 1.56, -20.51]",,,,,"[0.015117249303178076, 0.10096803407628088, 0.5956667977585501]"
13_19,"[39.60499702558001, 80.49791790600833, 169.18143961927424]",,"[5.44, 1.84, -17.34]",,,,,"[0.02084857223690384, 0.08124314953703865, 0.3976998502576133]"
13_2,"[38.817965496728135, 84.05175490779298, 171.53718024985127]",,"[6.06, 0.38, -17.14]",,,,,"[0.02012180334383889, 0.08876796719096156, 0.4100835832442937]"
13_20,"[38.67995240928019, 84.15348007138608, 168.2992266508031]",,"[6.15, -0.12, -16.91]",,,,,"[0.019995905935154164, 0.08898909586899091, 0.39311912831074525]"
13_3,"[34.47174301011303, 94.23497917906009, 211.27007733491968]",,"[6.19, 1.06, -20.85]",,,,,"[0.016376000337909254, 0.11251766681642277, 0.6532835912028266]"
13_4,"[37.297441998810235, 81.6656751933373, 166.47055324211777]",,"[5.94, -0.07, -17.29]",,,,,"[0.018760102807126373, 0.08367288613129759, 0.38372251340686525]"
13_5,"[32.678167757287326, 95.89886972040452, 207.34622248661512]",,"[6.89, -0.4, -20.08]",,,,,"[0.014959906411657196, 0.11671279910265317, 0.6263087165671839]"
13_6,"[33.51576442593694, 91.77096966091612, 208.06722189173112]",,"[6.53, 1.36, -20.91]",,,,,"[0.015611924752080866, 0.10646909437679493, 0.6312155676892951]"
13_7,"[34.66686496133254, 92.39321832242713, 215.53658536585365]",,"[6.29, 2.85, -21.41]",,,,,"[0.016534575334880928, 0.10797818532374548, 0.6833697975779859]"
13_8,"[34.00713860797145, 93.71564544913741, 204.0529446757882]",,"[6.67, -0.49, -19.83]",,,,,"[0.016002000550478825, 0.11122659415184435, 0.6041793154880994]"
13_9,"[34.58298631766805, 93.69422962522309, 205.0838786436645]",,"[6.74, 0.01, -19.84]",,,,,"[0.016466298184355646, 0.11117354057556199, 0.6110568357073459]"
14_1,"[29.885782272456872, 92.53599048185603, 171.7560975609756]",,"[6.97, -4.04, -16.61]",,,,,"[0.012902339989266919, 0.10832618797384665, 0.4112456546746309]"
